name,address,manager,phone,fax,street,city,zip,province,id,address_original,llaccuracy,lat,lng,zipmatch,ziplat,ziplng,fsa
108 STOP PHARMACY,"13444 108 Ave, Surrey, BC  V3T 2K1, Canada",Moheb Michael,(604) 957-0711,(604) 953-1700,13444 108 Ave,Surrey,V3T 2K1,BC,1,"13444 108 Ave
Surrey, BC  V3T 2K1
CANADA",0.5,49.198845,-122.786988,false,49.190394728448,-122.848462790325,V3T
49TH PARALLEL PHARMACY,"15229 Russell Ave, White Rock, BC  V4B 5C3, Canada",Mary Mani,(778) 294-7737,(778) 294-8847,15229 Russell Ave,White Rock,V4B 5C3,BC,2,"15229 Russell Ave
White Rock, BC  V4B 5C3
CANADA",0.5,49.0292,-122.780686,true,49.025763880178,-122.805857270246,V4B
AARONSON'S PHARMACY (COOK ST.) LTD.,"1711 Cook St., Victoria, BC  V8T 3P2, Canada",Andrew Formosa,(250) 383-6511,(250) 383-1353,1711 Cook St.,Victoria,V8T 3P2,BC,3,"1711 Cook St.
Victoria, BC  V8T 3P2
CANADA",0.9,48.428821,-123.352762,true,48.4400181576936,-123.357355323014,V8T
ABBEY REXALL LTC PHARMACY,"Unit 1A - 32943 Marshall Rd, Abbotsford, BC  V2S 1J8, Canada",Elke Groening,(604) 870-0171,(604) 870-0172,Unit 1A - 32943 Marshall Rd,Abbotsford,V2S 1J8,BC,4,"Unit 1A - 32943 Marshall Rd
Abbotsford, BC  V2S 1J8
CANADA",1.0,49.05798,-122.25257,true,49.0397175093707,-122.285383962384,V2S
ABBOTSFORD CARE PHARMACY,"6 - 33324 South Fraser Way, Abbotsford, BC  V2S 2B4, Canada", Arshad,(604) 746-7117,(604) 746-7114,6 - 33324 South Fraser Way,Abbotsford,V2S 2B4,BC,5,"6 - 33324 South Fraser Way
Abbotsford, BC  V2S 2B4
CANADA",0.5,49.051692,-122.331194,false,49.0397175093707,-122.285383962384,V2S
ABBY PHARMACY,"#100 - 2845 Cruickshank Street, Abbotsford, BC  V2T 6X1, Canada",Harvinder Dhaliwal,(604) 504-0060,(604) 504-0616,#100 - 2845 Cruickshank Street,Abbotsford,V2T 6X1,BC,6,"#100 - 2845 Cruickshank Street
Abbotsford, BC  V2T 6X1
CANADA",0.5,49.054932,-122.324,true,49.0391641015515,-122.347843226749,V2T
ACKROYD PHARMACY,"160 - 8100 Ackroyd Rd, Richmond, BC  V6X 3K2, Canada",Jessica Huang,(604) 207-9972,(604) 207-9080,160 - 8100 Ackroyd Rd,Richmond,V6X 3K2,BC,7,"160 - 8100 Ackroyd Rd
Richmond, BC  V6X 3K2
CANADA",0.5,49.172018,-123.136467,true,49.1863745873366,-123.111677711377,V6X
ADVANCED CARE SPECIALTY PHARMACY,"118 - 5589 Byrne Rd, Burnaby, BC  V5J 3J1, Canada",Vivienne Smy,(866) 496-8630,(844) 901-2254,118 - 5589 Byrne Rd,Burnaby,V5J 3J1,BC,8,"118 - 5589 Byrne Rd
Burnaby, BC  V5J 3J1
CANADA",0.5,49.225844,-122.977389,false,49.203104365998,-122.992325673539,V5J
AGASSIZ PHARMACY,"PO Box 37
7046 Pioneer Ave, Agassiz, BC  V0M 1A0, Canada",Mohamed Hasanine,(604) 491-1070,(604) 491-1071,"PO Box 37
7046 Pioneer Ave",Agassiz,V0M 1A0,BC,9,"PO Box 37
7046 Pioneer Ave
Agassiz, BC  V0M 1A0
CANADA",1.0,49.23298,-121.76926,true,49.6825442929899,-122.124099778811,V0M
ALBERTO PHARMACY # 1,"2516 Commercial Dr, Vancouver, BC  V5N 4C2, Canada",Kenneth Wan,(604) 873-4111,(604) 873-6734,2516 Commercial Dr,Vancouver,V5N 4C2,BC,10,"2516 Commercial Dr
Vancouver, BC  V5N 4C2
CANADA",0.9,49.262001,-123.069422,true,49.2553846831631,-123.066013649186,V5N
ALBERTO PHARMACY NO. 2,"#101 - 2620 Commercial Dr, Vancouver, BC  V5N 4C4, Canada",Jeffrey Wei,(604) 879-8481,(604) 879-8482,#101 - 2620 Commercial Dr,Vancouver,V5N 4C4,BC,11,"#101 - 2620 Commercial Dr
Vancouver, BC  V5N 4C4
CANADA",0.9,49.260742,-123.069471,true,49.2553846831631,-123.066013649186,V5N
