GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ
1,Acton,19.0,1485.0,67.6,185.0,885.0,930.0,795.0,15.0,5570.0,435.0,7024.0,47300.0,600.0,215.0,1560.0,10.0,15.0,70.5,355.0,7.8,1005.0,150.0,35925.0,4329.0,40523.0,590.0,4935.0,73.5,1213.2,9506.0,9462.0,2880.0,6.5,1705.0,5095.0,7665.0,5165.0,7665.0,225.0,4.2,45.0,65.0,815.0,0001,2016S05100001,35,Ontario,Acton,,2.2,5.3,00000
2,Acton Vale,15.2,325.0,59.9,185.0,580.0,70.0,80.0,25.0,2560.0,725.0,9253.0,32045.0,160.0,190.0,465.0,10.0,10.0,56.2,190.0,4.3,1285.0,15.0,25216.0,8889.0,27200.0,550.0,3450.0,60.2,1254.2,5133.0,5399.0,1455.0,18.9,720.0,2345.0,4340.0,2720.0,4340.0,535.0,6.7,10.0,60.0,200.0,0002,2016S05100002,24,Quebec,Acton Vale,,5.1,5.6,00000
3,Airdrie,25.0,8975.0,68.3,2170.0,9000.0,3045.0,1865.0,55.0,35390.0,4355.0,6467.0,60964.0,5790.0,3145.0,9715.0,170.0,110.0,72.3,3430.0,32.78,7770.0,965.0,43340.0,3634.0,50002.0,2610.0,23060.0,78.8,1863.2,42844.0,61082.0,22815.0,5.4,9720.0,30645.0,45545.0,35140.0,45545.0,1210.0,8.3,420.0,1280.0,7455.0,0003,2016S05100003,48,Alberta,Airdrie,,3.0,4.0,00000
5,Alençon,13.1,145.0,64.2,45.0,165.0,65.0,80.0,5.0,800.0,235.0,9559.0,36441.0,100.0,50.0,220.0,10.0,0.0,59.0,80.0,2.94,285.0,25.0,28878.0,8816.0,32016.0,115.0,1025.0,61.2,530.4,1590.0,1562.0,625.0,10.2,140.0,740.0,1345.0,870.0,1340.0,190.0,4.3,25.0,15.0,160.0,0005,2016S05100005,24,Quebec,Alençon,,3.8,7.1,00000
6,Alexandria,11.4,155.0,55.1,85.0,160.0,30.0,90.0,20.0,1170.0,140.0,10491.0,31502.0,95.0,60.0,255.0,0.0,10.0,46.0,100.0,2.07,570.0,10.0,23578.0,11392.0,24683.0,245.0,1905.0,51.8,1375.1,2924.0,2845.0,540.0,24.8,470.0,1000.0,2300.0,1250.0,2300.0,80.0,11.7,10.0,25.0,115.0,0006,2016S05100006,35,Ontario,Alexandria,,5.5,11.1,00011
7,Alfred,12.2,145.0,59.9,35.0,85.0,40.0,85.0,5.0,550.0,85.0,9931.0,33313.0,25.0,40.0,140.0,0.0,0.0,51.8,65.0,0.87,150.0,0.0,28256.0,9568.0,31248.0,115.0,735.0,56.3,1369.6,1035.0,1185.0,260.0,19.0,230.0,500.0,995.0,610.0,995.0,45.0,8.0,0.0,10.0,25.0,0007,2016S05100007,35,Ontario,Alfred,,9.2,9.7,00001
8,Alliston,17.7,1410.0,60.4,515.0,1045.0,1065.0,1845.0,40.0,9470.0,750.0,8510.0,46329.0,1180.0,445.0,2435.0,25.0,25.0,59.3,770.0,17.46,3040.0,180.0,34220.0,7588.0,38136.0,1285.0,10570.0,63.7,1077.6,15343.0,18809.0,4825.0,8.6,3255.0,8405.0,15165.0,9365.0,15170.0,305.0,6.8,85.0,145.0,1490.0,0008,2016S05100008,35,Ontario,Alliston,,3.2,4.6,00000
9,Alma,15.0,1310.0,62.4,845.0,650.0,525.0,270.0,65.0,9630.0,3185.0,9447.0,38100.0,1450.0,800.0,2385.0,60.0,10.0,51.2,1060.0,14.71,5760.0,260.0,27553.0,8850.0,30564.0,1495.0,13520.0,56.7,1455.5,19965.0,21406.0,7830.0,16.5,1655.0,8520.0,17355.0,10975.0,17360.0,2390.0,9.8,130.0,345.0,1915.0,0009,2016S05100009,24,Quebec,Alma,,4.0,5.1,00000
10,Almonte,15.2,520.0,58.8,155.0,540.0,290.0,200.0,10.0,2500.0,130.0,8592.0,46698.0,380.0,75.0,815.0,10.0,10.0,58.9,225.0,3.8,645.0,90.0,33216.0,8433.0,37134.0,210.0,2890.0,62.5,1325.7,4822.0,5039.0,1505.0,12.0,750.0,2190.0,4050.0,2470.0,4055.0,60.0,5.7,35.0,35.0,520.0,0010,2016S05100010,35,Ontario,Almonte,,7.0,5.9,00000
11,Altona,18.8,125.0,59.9,140.0,125.0,25.0,60.0,15.0,1980.0,200.0,7889.0,38657.0,210.0,70.0,315.0,10.0,0.0,61.5,155.0,4.53,1435.0,35.0,28587.0,6348.0,31957.0,370.0,2170.0,63.9,919.0,4013.0,4167.0,855.0,17.4,675.0,1775.0,3120.0,1895.0,3120.0,130.0,3.8,40.0,40.0,300.0,0011,2016S05100011,46,Manitoba,Altona,,6.9,4.6,00000
