GEO_CODE,GEO_NAME,0 to 14 years,15 to 29 minutes,15 to 64 years,3 Health occupations,30 to 44 minutes,45 to 59 minutes,60 minutes and over,65 years and over,All occupations,Apprenticeship or trades certificate or diploma,Average government transfers in 2015 among recipients ($),Average total income in 2015 among recipients ($),Bachelor's degree,Certificate of Apprenticeship or Certificate of Qualification,"College, CEGEP or other non-university certificate or diploma","Degree in medicine, dentistry, veterinary medicine or optometry",Earned doctorate,Employment rate,Health and related fields,Land area in square kilometres,Less than 15 minutes,Master's degree,Median after-tax income in 2015 among recipients ($),Median government transfers in 2015 among recipients ($),Median total income in 2015 among recipients ($),"No certificate, diploma or degree",Number of government transfers recipients aged 15 years and over in private households - 100% data,Participation rate,Population density per square kilometre,"Population, 2011","Population, 2016","Postsecondary certificate, diploma or degree","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Secondary (high) school diploma or equivalency certificate,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,Unemployment rate,University certificate or diploma above bachelor level,University certificate or diploma below bachelor level,"University certificate, diploma or degree at bachelor level or above",GEO_ID_CODE,GEO_UID,PROV_TERR_ID_CODE,PROV_TERR_NAME_NOM,GEO_NAME_NOM,GEO_TYPE,GEO_GNR_SF,GEO_GNR_LF,GEO_DQ,lng,lat,pharmacies
11,Altona,18.8,125.0,59.9,140.0,125.0,25.0,60.0,15.0,1980.0,200.0,7889.0,38657.0,210.0,70.0,315.0,10.0,0.0,61.5,155.0,4.53,1435.0,35.0,28587.0,6348.0,31957.0,370.0,2170.0,63.9,919.0,4013.0,4167.0,855.0,17.4,675.0,1775.0,3120.0,1895.0,3120.0,130.0,3.8,40.0,40.0,300.0,11,2016S05100011,46,Manitoba,Altona,,6.9,4.6,0,-97.5609256894579,49.1015086018737,3
20,Armstrong,15.5,785.0,58.6,155.0,270.0,70.0,85.0,15.0,2245.0,320.0,9029.0,38857.0,145.0,200.0,695.0,0.0,0.0,52.5,240.0,5.22,800.0,45.0,28713.0,8567.0,31987.0,255.0,2940.0,56.2,979.8,4830.0,5114.0,1275.0,13.7,960.0,2010.0,4075.0,2490.0,4075.0,115.0,6.6,20.0,50.0,210.0,20,2016S05100020,59,British Columbia,Armstrong,,6.7,6.8,0,-119.19785053074,50.4448513100121,2
24,Ashcroft,10.6,65.0,50.7,25.0,55.0,15.0,25.0,10.0,445.0,95.0,10329.0,37334.0,45.0,50.0,85.0,0.0,0.0,41.3,40.0,2.04,220.0,10.0,27960.0,11664.0,29675.0,105.0,715.0,44.8,530.3,1151.0,1084.0,270.0,16.7,225.0,380.0,1000.0,600.0,1000.0,45.0,7.8,10.0,30.0,60.0,24,2016S05100024,59,British Columbia,Ashcroft,,7.8,14.9,111,-121.273514404526,50.7290878674206,2
45,Bathurst,11.3,1605.0,61.1,745.0,340.0,115.0,180.0,70.0,6475.0,670.0,9912.0,36197.0,1005.0,320.0,2260.0,55.0,15.0,45.7,1040.0,25.15,3425.0,150.0,25278.0,9453.0,27388.0,1395.0,9925.0,51.6,618.5,15990.0,15557.0,4345.0,23.1,2005.0,5660.0,12925.0,7745.0,12920.0,350.0,11.3,80.0,110.0,1300.0,45,2016S05100045,13,New Brunswick,Bathurst,,5.1,5.8,0,-65.6843502130585,47.6760671630856,11
46,Bay Roberts,16.5,545.0,63.7,205.0,215.0,125.0,560.0,30.0,3150.0,730.0,10707.0,43108.0,385.0,390.0,1150.0,0.0,10.0,47.1,355.0,17.56,1190.0,135.0,27456.0,10069.0,29948.0,420.0,4430.0,54.6,404.4,6812.0,7100.0,2525.0,16.0,760.0,2640.0,5865.0,3710.0,5865.0,340.0,13.6,25.0,90.0,555.0,46,2016S05100046,10,Newfoundland and Labrador,Bay Roberts,,3.4,8.2,0,-53.2807744953012,47.6024053298474,12
51,Beausejour,15.2,185.0,59.8,115.0,265.0,185.0,130.0,10.0,1510.0,150.0,8609.0,40987.0,140.0,100.0,355.0,0.0,0.0,57.2,180.0,2.49,570.0,45.0,30320.0,8612.0,33902.0,205.0,1775.0,60.8,1160.5,2842.0,2895.0,790.0,15.5,425.0,1335.0,2500.0,1420.0,2500.0,50.0,6.2,25.0,65.0,215.0,51,2016S05100051,46,Manitoba,Beausejour,,5.7,8.2,0,-96.5152486397001,50.0592408102245,12
72,Bishop's Falls,13.0,450.0,64.9,130.0,50.0,20.0,40.0,5.0,1145.0,180.0,10442.0,36452.0,85.0,90.0,470.0,0.0,0.0,41.2,160.0,5.77,340.0,10.0,24695.0,10704.0,26032.0,310.0,1760.0,51.8,447.3,2658.0,2581.0,750.0,21.9,435.0,890.0,2280.0,1500.0,2280.0,95.0,20.3,0.0,0.0,90.0,72,2016S05100072,10,Newfoundland and Labrador,Bishop's Falls,,3.8,12.8,11,-55.4976203279771,49.0104449329997,2
78,Boissevain,17.8,145.0,55.9,90.0,40.0,80.0,25.0,5.0,840.0,95.0,8112.0,55790.0,80.0,70.0,235.0,20.0,0.0,61.0,110.0,2.44,475.0,10.0,30067.0,8237.0,33760.0,90.0,920.0,62.9,679.7,1572.0,1656.0,475.0,15.2,230.0,760.0,1335.0,790.0,1335.0,20.0,2.4,10.0,25.0,120.0,78,2016S05100078,46,Manitoba,Boissevain,,6.0,9.3,0,-100.059843921742,49.2304977168013,1
82,Bonavista,12.0,115.0,63.3,160.0,55.0,25.0,70.0,10.0,1455.0,210.0,11992.0,33042.0,95.0,70.0,345.0,10.0,0.0,41.2,135.0,4.2,780.0,45.0,23849.0,13132.0,25606.0,520.0,2285.0,56.9,746.9,3304.0,3140.0,725.0,22.3,530.0,1045.0,2670.0,1780.0,2670.0,140.0,28.0,0.0,30.0,145.0,82,2016S05100082,10,Newfoundland and Labrador,Bonavista,,4.7,7.4,0,-53.1093941723061,48.6532997194351,4
84,Botwood,13.0,185.0,58.9,125.0,185.0,20.0,35.0,15.0,1055.0,210.0,11413.0,32633.0,55.0,75.0,380.0,0.0,0.0,37.4,140.0,4.44,420.0,70.0,23168.0,11195.0,24192.0,285.0,1840.0,48.1,623.0,2657.0,2763.0,730.0,26.2,270.0,845.0,2285.0,1290.0,2280.0,130.0,22.3,0.0,15.0,130.0,84,2016S05100084,10,Newfoundland and Labrador,Botwood,,5.5,11.0,10,-55.3540681956933,49.1434817480063,2
